RiskAtt,Gender,MaritalS,Age,Migration,Literate,Adaptation,Riskperception,Riskdrought,Riskofcoldheat,Riskofrain,Saleagri,Riskcropf,Riskofavalanche,RiskCC,MainIncomeS,Province,Gender and Age,,Marital Satus and Age
1,1,1,80,1,0,0,1,0,2,3,1,3,3,1.666666627,1,0,,,
1,1,1,50,0,0,0,2,3,2,1,1,3,1,2,1,0,,,
1,1,1,55,1,1,0,2,4,2,4,1,4,4,3.333333254,0,0,,,
0,1,1,40,1,0,0,1,0,1,2,1,1,0,1,1,0,,,
1,1,1,45,1,1,0,2,0,2,2,1,0,0,1.333333373,1,0,,,
0,1,1,31,1,0,0,2,3,3,0,1,0,0,2,1,0,,,
1,1,0,20,0,1,0,3,0,1,1,1,1,0,0.666666687,1,0,,,
1,1,1,40,0,1,0,3,4,2,1,1,2,0,2.333333254,0,0,,,
1,1,1,50,0,0,0,1,2,2,1,1,2,2,1.666666627,1,0,,,
0,1,1,29,1,1,0,1,0,3,0,1,3,0,1,1,0,,,
1,1,0,23,0,1,0,1,1,1,0,1,4,0,0.666666687,1,0,,,
1,1,1,37,1,1,0,3,0,2,0,1,3,0,0.666666687,0,0,,,
0,1,1,40,1,1,0,2,0,1,1,1,2,0,0.666666687,1,0,,,
1,1,1,70,0,1,0,1,4,2,2,1,4,4,2.666666746,1,0,,,
1,1,1,54,0,1,0,3,0,3,3,1,3,0,2,1,0,,,
1,1,1,32,0,1,0,2,3,1,1,1,0,0,1.666666627,1,0,,,
1,1,1,23,1,1,0,2,3,4,0,1,4,1,2.333333254,0,0,,,
1,1,1,28,0,1,0,2,4,2,2,1,2,3,2.666666746,0,0,,,
1,1,1,60,1,0,0,2,0,3,2,1,3,0,1.666666627,1,0,,,
0,1,1,25,0,1,0,3,0,0,0,1,0,0,0,1,0,,,
1,1,1,38,0,0,0,2,0,1,1,1,2,0,0.666666687,0,0,,,
1,1,1,26,0,1,0,1,4,2,3,1,4,1,3,1,0,,,
1,1,1,34,0,0,0,1,1,3,3,1,3,4,2.333333254,1,0,,,
1,1,1,60,1,0,0,1,4,1,2,1,1,0,2.333333254,0,0,,,
0,1,1,50,1,0,0,2,4,3,3,1,3,0,3.333333254,1,0,,,
0,1,1,23,0,1,0,3,1,2,2,1,2,1,1.666666627,1,0,,,
0,1,1,59,0,0,0,1,0,1,2,1,2,0,1,1,0,,,
1,1,0,27,0,1,0,2,0,2,0,1,0,0,0.666666687,1,0,,,
0,0,1,35,0,0,0,1,3,2,1,1,2,4,2,0,0,,,
1,1,0,21,0,1,0,1,4,3,2,1,2,0,3,0,0,,,
0,1,0,19,0,1,0,1,4,1,0,1,2,0,1.666666627,1,0,,,
0,1,1,23,1,0,0,1,0,2,1,1,2,0,1,1,0,,,
1,1,1,54,0,0,0,2,2,2,2,1,2,1,2,1,0,,,
1,1,1,37,1,1,1,1,0,2,0,1,2,0,0.666666687,0,0,,,
1,1,0,18,0,1,0,3,4,2,1,0,2,2,2.333333254,0,0,,,
1,1,0,23,0,1,0,1,4,2,0,1,2,1,2,1,0,,,
0,1,1,35,0,1,0,2,4,3,2,1,4,4,3,1,0,,,
1,1,1,37,1,0,0,1,2,2,0,1,1,0,1.333333373,1,0,,,
0,1,1,60,1,0,0,3,0,3,3,1,3,3,2,1,0,,,
1,1,0,19,0,1,0,1,4,2,0,1,2,0,2,1,0,,,
1,1,1,23,0,1,0,2,0,3,1,1,3,0,1.333333373,1,0,,,
0,1,0,20,0,1,0,2,0,2,0,1,2,0,0.666666687,0,0,,,
1,1,0,23,0,1,0,1,1,1,1,1,2,4,1,1,0,,,
1,1,0,23,0,1,1,2,0,2,1,1,3,0,1,0,0,,,
1,1,1,53,1,1,0,3,0,2,3,1,2,0,1.666666627,1,0,,,
0,1,1,57,1,0,0,3,0,0,0,1,2,0,0,1,0,,,
0,1,1,47,1,0,0,1,0,2,2,1,2,0,1.333333373,1,0,,,
0,1,1,27,0,1,0,1,3,2,1,1,1,2,2,1,0,,,
0,1,1,54,1,1,0,2,0,3,1,1,2,0,1.333333373,1,0,,,
0,1,0,25,0,1,0,1,0,1,0,1,2,0,0.333333343,1,0,,,
0,1,1,28,0,1,0,2,4,2,0,1,2,0,2,1,0,,,
1,1,1,45,0,0,0,1,4,1,0,1,0,0,1.666666627,1,0,,,
1,1,1,38,1,0,0,1,4,2,1,1,2,2,2.333333254,1,0,,,
1,1,1,54,1,1,0,2,4,1,1,1,4,0,2,1,0,,,
0,1,1,62,1,0,0,3,0,2,0,1,3,2,0.666666687,1,0,,,
0,1,1,55,1,0,0,2,0,3,0,1,2,0,1,1,0,,,
0,1,1,42,1,0,0,1,0,2,2,1,2,0,1.333333373,1,0,,,
1,1,0,25,0,0,1,3,4,2,0,1,2,0,2,0,0,,,
0,1,1,54,1,1,0,2,0,2,1,1,2,0,1,0,0,,,
1,1,1,28,0,1,0,1,0,2,3,1,2,0,1.666666627,0,0,,,
1,1,1,47,1,0,0,1,0,2,2,1,3,0,1.333333373,1,0,,,
0,1,1,60,0,0,0,2,3,2,0,1,2,0,1.666666627,1,0,,,
0,1,0,18,0,1,0,1,4,2,2,1,4,4,2.666666746,1,0,,,
1,1,1,38,1,0,0,1,0,2,2,1,2,0,1.333333373,1,0,,,
1,1,0,25,0,1,1,3,0,2,0,1,0,0,0.666666687,1,0,,,
0,1,0,25,1,1,0,1,0,2,0,1,0,0,0.666666687,0,0,,,
0,1,0,20,0,1,0,2,4,3,2,1,3,1,3,0,0,,,
0,1,1,43,0,0,0,1,3,3,3,1,4,0,3,0,0,,,
0,1,1,26,0,0,0,2,0,1,2,1,2,0,1,1,0,,,
1,1,1,37,0,1,0,1,0,2,4,1,2,0,2,1,0,,,
0,1,1,49,0,1,0,2,0,2,2,1,1,0,1.333333373,0,0,,,
1,1,0,57,1,1,0,3,0,1,1,1,2,0,0.666666687,1,0,,,
0,1,1,29,1,1,0,2,0,2,2,1,2,0,1.333333373,0,0,,,
0,1,0,25,0,0,0,1,4,1,2,1,1,0,2.333333254,1,0,,,
1,1,1,25,0,1,0,3,4,2,0,1,2,0,2,0,0,,,
0,1,0,18,0,1,0,1,2,2,0,1,4,4,1.333333373,1,0,,,
0,1,1,40,1,1,0,3,0,3,0,1,0,0,1,0,0,,,
0,1,1,76,0,0,1,1,4,1,0,0,1,0,1.666666627,1,0,,,
1,1,1,26,1,1,0,1,0,2,2,1,2,0,1.333333373,0,0,,,
1,1,1,50,0,0,0,2,0,2,3,0,3,0,1.666666627,1,0,,,
0,1,1,43,0,0,0,2,3,3,1,1,4,3,2.333333254,1,0,,,
1,1,1,73,1,0,0,1,0,2,2,1,2,0,1.333333373,1,0,,,
0,1,1,61,1,1,0,2,0,3,0,1,3,0,1,1,0,,,
1,1,1,54,1,0,0,2,4,2,2,1,3,0,2.666666746,1,0,,,
1,1,1,51,1,0,0,2,0,2,1,1,3,0,1,1,0,,,
0,1,1,60,1,1,0,3,1,2,2,1,2,1,1.666666627,1,0,,,
0,1,1,40,1,1,0,1,4,3,2,1,3,2,3,1,0,,,
1,1,0,25,1,0,0,2,0,2,1,1,0,1,1,1,0,,,
0,1,0,17,0,1,0,1,3,3,0,1,3,0,2,1,0,,,
1,1,0,25,0,0,0,1,1,1,3,1,3,4,1.666666627,1,0,,,
0,1,1,47,1,0,0,1,3,2,3,1,3,3,2.666666746,1,0,,,
1,0,1,51,0,1,0,1,0,0,1,1,3,0,0.333333343,1,0,,,
0,1,1,60,1,0,0,1,0,1,1,1,1,0,0.666666687,1,0,,,
0,1,1,25,0,0,0,2,2,2,2,1,2,3,2,1,0,,,
0,1,1,68,0,0,0,2,0,2,2,1,2,0,1.333333373,1,0,,,
0,1,1,48,1,0,1,1,4,2,1,1,3,2,2.333333254,1,0,,,
1,1,1,45,0,0,0,2,4,3,2,1,4,4,3,1,0,,,
1,1,1,32,1,1,0,2,4,3,4,1,2,0,3.666666746,1,0,,,
0,1,1,36,0,1,0,1,4,2,0,1,3,0,2,0,0,,,
1,1,1,30,1,1,0,3,0,2,0,1,2,0,0.666666687,0,0,,,
1,1,0,22,1,1,0,1,1,1,1,1,2,4,1,1,0,,,
0,1,1,23,1,0,0,1,0,0,3,1,0,0,1,1,0,,,
0,1,1,63,1,1,0,3,4,0,0,1,4,4,1.333333373,0,0,,,
1,0,1,21,0,1,0,2,0,0,2,1,2,0,0.666666687,0,0,,,
0,1,1,35,0,0,0,1,4,2,1,0,2,0,2.333333254,0,0,,,
1,1,1,46,1,1,0,2,0,3,1,1,2,0,1.333333373,1,0,,,
1,1,0,18,0,1,0,2,4,3,0,1,4,4,2.333333254,1,0,,,
1,1,1,45,1,1,0,1,0,1,1,1,2,0,0.666666687,1,0,,,
1,1,0,22,1,1,0,1,0,3,0,1,3,0,1,0,0,,,
0,1,1,40,1,0,0,2,0,3,1,1,3,0,1.333333373,1,0,,,
1,1,1,27,0,0,0,2,0,2,2,1,2,2,1.333333373,1,0,,,
0,1,1,38,1,1,0,3,1,1,1,1,2,0,1,1,0,,,
1,1,1,66,0,1,0,1,0,2,4,1,4,0,2,1,0,,,
0,1,0,25,1,1,1,1,4,3,2,0,3,3,3,0,1,,,
1,1,1,24,1,0,0,4,4,4,4,0,4,0,4,0,1,,,
1,1,1,50,1,0,0,3,4,3,2,0,3,0,3,1,1,,,
1,0,1,39,0,0,1,2,3,2,1,0,3,0,2,0,1,,,
0,1,1,55,1,0,1,2,3,3,0,0,3,0,2,0,1,,,
1,1,1,26,0,1,1,2,4,3,1,0,3,0,2.666666746,0,1,,,
1,1,1,27,1,1,0,2,4,3,2,0,3,0,3,0,1,,,
0,1,0,25,1,1,1,2,4,3,2,0,3,2,3,0,1,,,
1,1,1,65,1,0,0,2,4,3,4,0,4,0,3.666666746,1,1,,,
0,1,1,25,1,0,1,2,4,3,4,0,3,0,3.666666746,1,1,,,
1,1,1,32,1,1,1,3,4,4,4,0,4,0,4,1,1,,,
1,1,1,38,1,1,1,2,4,3,3,0,3,3,3.333333254,1,1,,,
1,0,1,38,0,0,0,1,4,3,2,0,2,0,3,0,1,,,
1,1,0,18,0,1,1,0,4,4,4,0,4,0,4,1,1,,,
1,1,1,42,0,1,0,3,3,3,4,0,3,0,3.333333254,0,1,,,
1,1,1,27,1,0,1,3,4,4,0,0,0,0,2.666666746,0,1,,,
1,1,1,45,1,1,0,2,4,4,2,0,2,0,3.333333254,0,1,,,
1,0,1,35,0,0,1,2,4,2,2,0,2,0,2.666666746,0,1,,,
1,1,1,36,1,0,1,3,4,3,3,0,2,0,3.333333254,1,1,,,
1,1,1,30,1,1,1,3,4,1,2,0,3,0,2.333333254,0,1,,,
1,1,1,58,1,1,1,2,4,3,3,0,3,0,3.333333254,0,1,,,
1,1,1,55,1,0,1,2,4,3,0,0,3,0,2.333333254,1,1,,,
1,1,1,52,1,1,1,3,4,2,2,0,2,0,2.666666746,1,1,,,
1,0,1,65,0,0,1,2,4,3,2,0,2,0,3,0,1,,,
0,1,0,18,1,1,0,1,4,4,4,0,4,0,4,0,1,,,
1,1,1,35,1,1,1,4,4,4,3,0,2,0,3.666666746,0,1,,,
0,1,1,67,0,1,1,0,4,4,0,0,4,0,2.666666746,1,1,,,
1,1,1,35,1,1,1,2,2,4,2,0,2,0,2.666666746,0,1,,,
1,1,1,26,1,0,1,0,4,4,4,0,4,0,4,1,1,,,
1,1,1,66,1,0,0,3,4,3,3,0,3,0,3.333333254,1,1,,,
1,1,1,56,1,1,1,1,4,3,2,0,2,0,3,1,1,,,
1,1,1,45,1,1,0,3,4,2,3,0,3,0,3,1,1,,,
0,1,1,51,1,1,1,1,4,3,3,0,3,0,3.333333254,1,1,,,
1,0,1,45,0,0,1,3,4,3,2,0,3,0,3,0,1,,,
1,1,1,60,1,0,0,3,3,3,0,1,1,0,2,1,1,,,
1,1,1,38,1,0,0,1,4,3,3,0,3,0,3.333333254,1,1,,,
1,1,0,25,0,1,1,2,4,3,2,0,3,0,3,0,1,,,
1,1,1,75,1,0,1,1,4,3,2,0,3,0,3,1,1,,,
1,1,1,45,1,0,0,1,4,3,0,0,2,0,2.333333254,1,1,,,
0,1,0,18,0,1,0,0,4,4,4,0,4,0,4,0,1,,,
1,1,1,25,0,0,1,3,3,1,0,0,1,0,1.333333373,0,1,,,
1,1,1,25,1,1,1,1,4,4,4,0,4,0,4,1,1,,,
1,0,1,38,0,0,1,3,4,3,2,0,2,0,3,0,1,,,
0,1,1,36,1,1,1,2,4,2,1,0,3,0,2.333333254,0,1,,,
1,1,1,65,1,1,1,2,4,3,0,0,3,0,2.333333254,0,1,,,
0,1,1,56,1,0,1,2,4,2,3,0,3,0,3,1,1,,,
1,1,1,55,1,1,0,3,4,3,0,0,3,0,2.333333254,1,1,,,
0,1,1,24,1,1,1,3,4,4,4,0,4,0,4,0,1,,,
1,1,1,70,1,0,1,1,4,3,2,0,3,0,3,1,1,,,
1,0,1,45,0,0,1,0,4,2,2,1,3,0,2.666666746,0,1,,,
1,1,0,18,0,1,0,4,4,4,4,0,3,0,4,0,1,,,
0,0,1,40,0,0,1,1,4,2,3,0,3,0,3,0,1,,,
1,0,1,60,1,0,1,0,4,3,3,0,3,0,3.333333254,0,1,,,
1,0,1,25,0,1,1,3,4,3,3,0,3,0,3.333333254,0,1,,,
1,1,1,37,1,0,1,2,4,3,3,0,3,0,3.333333254,1,1,,,
1,1,1,46,1,0,1,3,4,3,1,0,2,0,2.666666746,0,1,,,
1,1,1,70,1,1,1,2,4,2,2,0,2,0,2.666666746,1,1,,,
1,1,1,28,1,0,1,3,4,2,1,0,3,0,2.333333254,0,1,,,
0,1,1,47,1,1,1,2,4,2,2,0,2,0,2.666666746,1,1,,,
0,1,1,23,1,1,0,3,4,2,3,0,3,0,3,1,1,,,
1,1,1,26,1,1,1,3,4,3,2,0,3,0,3,0,1,,,
1,1,1,65,0,0,0,3,1,3,0,1,3,0,1.333333373,1,1,,,
0,1,1,60,1,1,1,3,4,3,3,0,2,0,3.333333254,0,1,,,
0,1,1,29,1,0,1,1,4,4,3,0,1,0,3.666666746,0,1,,,
1,0,1,27,0,0,1,0,4,3,2,0,2,0,3,0,1,,,
0,1,1,25,0,1,1,2,4,3,3,0,3,3,3.333333254,0,1,,,
1,1,1,80,1,0,1,1,4,3,3,0,3,0,3.333333254,1,1,,,
1,1,1,59,1,0,1,0,4,4,4,0,4,0,4,1,1,,,
0,1,1,60,0,0,1,2,3,4,0,0,1,0,2.333333254,1,1,,,
